Work Item Type,Title,Description,Acceptance Criteria,State,Tags,Iteration Path,Area Path,Story Points,Parent
Epic,EP1 - Entrevistas Assistidas,Descobrir séries/risco/base legal via roteiros dinâmicos com evidências.,,New,Entrevista;MVP,Projeto\MVP,Projeto,,
User Story,US-001 - Roteiros dinâmicos,Como Arquivista quero cadastrar e versionar roteiros por área/processo com lógica condicional para identificar séries/metadados/base legal.,Valida branching e versionamento com justificativa,New,Entrevista;PCD;LGPD;MVP,Projeto\MVP,Projeto,8,EP1 - Entrevistas Assistidas
User Story,US-002 - Motor condicional,Como Entrevistador quero navegar por perguntas com validações e branching para otimizar entrevistas.,Erros em obrigatórios; bloco de Eventos por tipo,New,Entrevista;MVP,Projeto\MVP,Projeto,5,EP1 - Entrevistas Assistidas
User Story,US-003 - Evidências e anexos,Como Entrevistador quero anexar evidências para sustentar decisões.,Hash+antivírus; vínculo à resposta,New,Entrevista;Auditoria;MVP,Projeto\MVP,Projeto,5,EP1 - Entrevistas Assistidas
User Story,US-004 - Mapeamento p/ classes,Como Arquivista quero sugestões automáticas de classe/metadados a partir das respostas.,Sugestão de classe com justificativa,New,PCD;Entrevista;MVP,Projeto\MVP,Projeto,8,EP1 - Entrevistas Assistidas
Epic,EP2 - Construtor de PCD,Modelar função→atividade→série→classe com versionamento e aprovação.,,New,PCD;MVP,Projeto\MVP,Projeto,,
User Story,US-010 - Modelagem hierárquica,Como Arquivista quero modelar Função>Atividade>Série>Classe.,CRUD; unicidade; exemplos por classe,New,PCD;MVP,Projeto\MVP,Projeto,8,EP2 - Construtor de PCD
User Story,US-011 - Versionamento PCD,Como Gestor quero aprovar versões do PCD.,Aprovação com justificativa e registro de aprovador,New,PCD;Governanca;MVP,Projeto\MVP,Projeto,5,EP2 - Construtor de PCD
User Story,US-012 - Metadados de controle,Como Segurança quero perfis de metadados de sigilo/controle.,Metadados mínimos definidos,New,PCD;Seguranca;LGPD;MVP,Projeto\MVP,Projeto,5,EP2 - Construtor de PCD
Epic,EP3 - Construtor de TTD,"Regras de retenção, eventos, exceções e destinação com termos.",,New,TTD;MVP,Projeto\MVP,Projeto,,
User Story,US-020 - Regras + eventos,Como Arquivista quero cadastrar regras de retenção com eventos de início.,Datas relativas; exceções,New,TTD;MVP;LGPD,Projeto\MVP,Projeto,8,EP3 - Construtor de TTD
